model,r2,ai_coef_per_100pp,ai_effect_per_20pp,rework_coef
Capped margin %,0.1735753133981125,0.12557398071192097,0.025114796142384196,0.13738110302007772
Hours spent,0.17259116386370954,-2.9745780805759634,-0.5949156161151927,-9.46961097778505
